Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),GFLOP/s (mean),GFLOP/s (median),GFLOP/s (min),GFLOP/s (max),GFLOP/s (stddev)
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rms_norm_1_cols_1_channels_2048_tile_2048,5/5,0.07615258,0.0757887,0.0693581,0.0835335,0.004492832673670362,150.8,151.0,137.0,165.0,8.863407922464136,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rms_norm_1_cols_2_channels_2048_tile_1024,5/5,0.0757072,0.069781,0.0665354,0.100387,0.012506389465709122,154.6,164.0,114.0,172.0,20.857612519173905,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rms_norm_2_cols_1_channels_2048_tile_1024,5/5,0.07881932,0.0794729,0.0635783,0.093804,0.01149852829233376,148.4,144.0,122.0,180.0,22.07804339156892,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rms_norm_2_cols_2_channels_2048_tile_512,5/5,0.07168908,0.0673182,0.0615274,0.089407,0.009854667582501198,162.4,170.0,128.0,186.0,20.22473732833136,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rms_norm_4_cols_1_channels_2048_tile_512,5/5,0.08488208,0.0847711,0.076806,0.093804,0.00556124923786014,135.4,135.0,122.0,149.0,8.822698000045111,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rms_norm_4_cols_2_channels_2048_tile_256,5/5,0.07403072,0.0752901,0.0669245,0.0805922,0.005935821926372121,155.6,152.0,142.0,171.0,12.658593918757328,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rms_norm_8_cols_1_channels_2048_tile_256,5/5,0.07017818,0.0677165,0.0569358,0.0860458,0.00977164594127315,166.2,169.0,133.0,201.0,22.683915006012523,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rms_norm_8_cols_2_channels_2048_tile_128,5/5,0.06875242000000001,0.0677165,0.0605508,0.0847711,0.008578722743019499,168.8,169.0,135.0,189.0,18.89338508579127,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rope_1_cols_2_channels_4096_tile_4096_0,5/5,0.1370452,0.145785,0.11275,0.15465,0.017103679339837963,169.8,157.0,148.0,203.0,22.37319825147938,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rope_2_cols_2_channels_4096_tile_2048_0,5/5,0.14977179999999998,0.143951,0.129312,0.189159,0.021285221139560655,155.6,159.0,121.0,177.0,19.673332203772702,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rope_4_cols_2_channels_4096_tile_1024_0,5/5,0.15023979999999998,0.151577,0.127867,0.162328,0.011900908459441232,153.4,151.0,141.0,179.0,13.350655414622908,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,rope_8_cols_2_channels_4096_tile_512_0,5/5,0.1482138,0.141285,0.118592,0.193968,0.025386596466639634,158.6,162.0,118.0,193.0,24.686838598735157,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,silu_1_cols_1_channels_2048_tile_2048,5/5,0.05777834,0.0610352,0.0443569,0.0681196,0.008189371191391926,135.0,125.0,112.0,172.0,21.004761364985796,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,silu_2_cols_1_channels_2048_tile_1024,5/5,0.0573102,0.0573639,0.0479836,0.0681196,0.006452429448510073,134.8,133.0,112.0,159.0,15.011995203836165,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,silu_4_cols_1_channels_2048_tile_512,5/5,0.05363682000000001,0.0552855,0.0401547,0.0620276,0.007332979128676148,145.4,138.0,123.0,190.0,23.260266550493352,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,silu_8_cols_1_channels_2048_tile_256,5/5,0.05248274000000001,0.0548877,0.0331713,0.0641126,0.01031281891445787,153.0,139.0,119.0,230.0,39.30903204099536,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,softmax_1_cols_2_channels_4096_tile_2048,5/5,0.1330349,0.134636,0.089407,0.172092,0.03484064529884599,185.2,170.0,133.0,256.0,50.744063692219214,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,softmax_2_cols_2_channels_4096_tile_1024,5/5,0.15643659999999998,0.156768,0.113308,0.195626,0.028417551475100732,151.6,146.0,117.0,202.0,29.54725029507822,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,softmax_2_cols_2_channels_4096_tile_512,5/5,0.1522268,0.153612,0.119833,0.174719,0.020018391647682387,153.2,149.0,131.0,191.0,21.766028576660467,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,swiglu,5/5,,,,,,,,,,,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,transpose_2048_M_64_N_1_cols_1_channels_64_m_64_n_8_s,5/5,2.758032,3.19138,1.87081,3.21238,0.5647443011275103,186.0,153.0,152.0,261.0,44.04997162314637,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,transpose_2048_M_64_N_1_cols_2_channels_64_m_64_n_8_s,5/5,3.254456,3.53827,2.42926,3.6169,0.45997925677578094,153.6,138.0,135.0,201.0,25.342454498331453,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,weighted_rms_norm_1_cols_2_channels_2048_weights_2048,5/5,0.06904502,0.0693581,0.0510897,0.0860458,0.011582249104452902,170.8,165.0,133.0,224.0,30.583655765784442,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,weighted_rms_norm_2_cols_2_channels_2048_weights_1024,5/5,0.08493986,0.0922911,0.0552855,0.0953674,0.014980211716073976,140.6,124.0,120.0,207.0,33.326265917441155,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,weighted_rms_norm_4_cols_2_channels_2048_weights_512,5/5,0.08401746,0.0811638,0.0706425,0.104037,0.011036629114471504,138.4,141.0,110.0,162.0,16.81190054693401,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,weighted_rms_norm_8_cols_2_channels_2048_weights_256,5/5,0.07172942,0.072431,0.0529819,0.0930414,0.013082093150012348,165.0,158.0,123.0,216.0,30.522123124055444,,,,,
