Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev)
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_aie_columns_8-tile_size_256,10/10,0.064268476,0.06181636,0.03779086,0.09254894,0.021420713029479562,,,,,,212.18,198.75,132.8,325.2,71.5139737704768
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_aie_columns_8-tile_size_256-scalar_factor_3.0,5/5,0.051824122,0.05375469,0.03712734,0.06719969,0.01185025053688613,,,,,,247.78,228.6,182.9,331.0,59.0915137731299
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_cores_1-num_channels_1-bypass_False-tile_size_2048,5/5,0.044900702,0.04501445,0.0408088,0.04846735,0.0033416877688931383,,,,,,183.26,182.0,169.0,200.7,13.760014534876044
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_cores_16-num_channels_2-bypass_False-tile_size_128,5/5,0.03749246,0.03556528,0.02655197,0.05147572,0.009042184408927414,,,,,,228.56,230.3,159.1,308.5,53.7685595864349
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_cores_2-num_channels_1-bypass_False-tile_size_1024,5/5,0.052446306000000005,0.05110577,0.04638863,0.06414432,0.007279859120651307,,,,,,158.42000000000002,160.3,127.7,176.6,20.15556994976823
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_cores_2-num_channels_2-bypass_False-tile_size_1024,5/5,0.044852424,0.04373125,0.03896332,0.0540876,0.005601257527451312,,,,,,184.74,187.3,151.5,210.2,21.24907056790955
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_cores_4-num_channels_1-bypass_False-tile_size_512,5/5,0.039926994,0.03968377,0.03784865,0.04286918,0.0018298512913704225,,,,,,205.5,206.4,191.1,216.4,9.149590154755572
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_cores_4-num_channels_2-bypass_False-tile_size_512,5/5,0.04274958,0.03843032,0.03722824,0.05401627,0.007140023051072733,,,,,,195.54,213.2,151.7,220.0,29.23359368945255
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_cores_8-num_channels_1-bypass_False-tile_size_256,5/5,0.042172936,0.04367273,0.03792768,0.04527893,0.003368539746897757,,,,,,195.28,187.6,180.9,216.0,16.057615015935585
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_2048-num_cores_8-num_channels_2-bypass_False-tile_size_256,5/5,0.041939478,0.04132636,0.03753081,0.05170705,0.005796707121950357,,,,,,198.0,198.2,158.4,218.3,24.398258134547227
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_32768-num_aie_columns_2-num_channels_2-tile_size_1024,5/5,0.64297732,0.6063348,0.5480401,0.7484141,0.08376692348538889,,,,,,206.6,216.2,175.1,239.2,26.422812113777745
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:16:56,input_length_32768-num_aie_columns_2-num_channels_2-tile_size_2048,5/5,0.67743434,0.6756672,0.6114374,0.7859589,0.07223491151785957,,,,,,195.20000000000002,194.0,166.8,214.4,19.97010265371713
