Commit,Date,Test,Checks,TTFT (mean),TTFT (median),TTFT (min),TTFT (max),TTFT (stddev),TPS (mean),TPS (median),TPS (min),TPS (max),TPS (stddev)
8b6d0f4fcd26f0b6df14d6920b2144c5ee29537f,2026-03-25 21:36:35,llama_3.2_1b_prompt_1024_tokens_1,5/5,2.2452,2.247,2.231,2.258,0.011144505372604066,,,,,
8b6d0f4fcd26f0b6df14d6920b2144c5ee29537f,2026-03-25 21:36:35,llama_3.2_1b_prompt_1024_tokens_40,5/5,2.2654,2.249,2.226,2.367,0.05860290095208598,4.2814,4.279,4.262,4.302,0.015043270920913374
8b6d0f4fcd26f0b6df14d6920b2144c5ee29537f,2026-03-25 21:36:35,llama_3.2_1b_prompt_13_tokens_1,5/5,2.1678,2.172,2.144,2.189,0.016828547174370063,,,,,
8b6d0f4fcd26f0b6df14d6920b2144c5ee29537f,2026-03-25 21:36:35,llama_3.2_1b_prompt_13_tokens_40,5/5,2.1654,2.162,2.153,2.185,0.012218837915284796,4.2744,4.274,4.253,4.298,0.01613381541979455
