Commit,Date,Test Path,Test,Checks,TTFT (mean),TTFT (median),TTFT (min),TTFT (max),TTFT (stddev),TPS (mean),TPS (median),TPS (min),TPS (max),TPS (stddev)
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:32:13,iron/applications/llama_3.2_1b/test.py::test_llama_3_2_1b,llama_3.2_1b_prompt_1024_tokens_1,5/5,2.0538,2.057,2.026,2.075,0.017767948671695472,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:32:13,iron/applications/llama_3.2_1b/test.py::test_llama_3_2_1b,llama_3.2_1b_prompt_1024_tokens_40,5/5,2.0796,2.055,2.043,2.193,0.06362232312639961,7.7356,7.725,7.699,7.787,0.03341855771872874
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:32:13,iron/applications/llama_3.2_1b/test.py::test_llama_3_2_1b,llama_3.2_1b_prompt_13_tokens_1,5/5,2.0236,2.022,2.0,2.057,0.021961329650091756,,,,,
cdc48e93fd2c8776105780790c46ba4bca1bc40e,2026-08-03 16:32:13,iron/applications/llama_3.2_1b/test.py::test_llama_3_2_1b,llama_3.2_1b_prompt_13_tokens_40,5/5,2.0204,2.019,2.008,2.04,0.012054044964243366,7.542,7.527,7.515,7.602,0.03536947836765498
