Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),GFLOP/s (mean),GFLOP/s (median),GFLOP/s (min),GFLOP/s (max),GFLOP/s (stddev)
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_2_cols_2_channels_1024_tile_512_1,5/5,0.042829980000000004,0.0411658,0.037399,0.049328,0.004419976336769235,135.0,139.0,116.0,153.0,13.6088206689632,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_2_cols_2_channels_4096_tile_2048_0,5/5,0.1507024,0.141285,0.108475,0.195626,0.032055520077515505,159.0,162.0,117.0,211.0,33.94701754204631,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_2_cols_2_channels_4096_tile_2048_1,5/5,0.12969414,0.136239,0.0854037,0.160057,0.025061833903335967,184.8,168.0,143.0,268.0,43.74197069177382,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_2_cols_2_channels_8192_tile_4096_0,5/5,0.3410682,0.354856,0.279124,0.405101,0.04288928772735681,136.4,129.0,113.0,164.0,17.499714283381888,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_2_cols_2_channels_8192_tile_4096_1,5/5,0.30191080000000003,0.287902,0.260093,0.344183,0.034618345728240685,153.6,159.0,133.0,176.0,17.281203661782357,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_4_cols_2_channels_1024_tile_256_0,5/5,0.03905512,0.038403,0.0353213,0.0423855,0.0026666100242817656,147.2,149.0,135.0,162.0,10.087616170334794,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_4_cols_2_channels_1024_tile_256_1,5/5,0.04012236,0.0394624,0.0286102,0.0539816,0.009537430772194365,151.0,145.0,106.0,200.0,35.73793502708292,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_4_cols_2_channels_4096_tile_1024_0,5/5,0.1291456,0.127157,0.11275,0.153612,0.014587072092781333,179.4,180.0,149.0,203.0,19.31424344881259,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_4_cols_2_channels_4096_tile_1024_1,5/5,0.1677354,0.145785,0.135433,0.228882,0.03704452169268757,142.6,157.0,100.0,169.0,28.00428538634757,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_4_cols_2_channels_8192_tile_2048_0,5/5,0.3613692,0.341615,0.334134,0.401547,0.027720787495307552,127.4,134.0,114.0,137.0,9.457272334029511,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_4_cols_2_channels_8192_tile_2048_1,5/5,0.3252086,0.341615,0.24744,0.384675,0.051115361302058696,144.6,134.0,119.0,185.0,24.581293700698506,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_8_cols_2_channels_1024_tile_128_0,5/5,0.03835874,0.0400143,0.0321463,0.0440157,0.00415489811263766,151.0,143.0,130.0,178.0,16.946976131451887,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_8_cols_2_channels_1024_tile_128_1,5/5,0.04184672,0.0405819,0.038147,0.0506376,0.004573245551859204,138.2,141.0,113.0,150.0,13.407460609675494,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_8_cols_2_channels_4096_tile_512_0,5/5,0.11895494,0.125072,0.0820365,0.153612,0.030758416966651585,207.0,183.0,149.0,279.0,56.80845007567096,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_8_cols_2_channels_4096_tile_512_1,5/5,0.1387192,0.143051,0.102179,0.184582,0.027717891019339837,171.6,160.0,124.0,224.0,33.70815924965349,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_8_cols_2_channels_8192_tile_1024_0,5/5,0.2102836,0.221142,0.162905,0.242203,0.02709620108133242,221.8,207.0,189.0,281.0,32.1085658353032,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,rope_8_cols_2_channels_8192_tile_1024_1,5/5,0.2327624,0.219026,0.183105,0.311404,0.043675369107083695,203.0,209.0,147.0,250.0,34.25200724045235,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_1_cols_1_channels_1024_tile_1024,5/5,0.02766754,0.0263083,0.0236938,0.0328853,0.003477509287176671,140.0,145.0,116.0,161.0,16.946976131451887,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_1_cols_1_channels_2048_tile_2048,5/5,0.04710632,0.0395305,0.0391251,0.0610352,0.00963464575195165,168.4,193.0,125.0,195.0,31.518883228947054,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_1_cols_1_channels_4096_tile_4096,5/5,0.10678331999999999,0.105964,0.099083,0.120148,0.0076576183666725,143.6,144.0,127.0,154.0,9.850888284819801,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_2_cols_1_channels_1024_tile_512,5/5,0.02705524,0.0252629,0.0217983,0.0331713,0.004906162177343918,145.6,151.0,115.0,175.0,25.46841180757057,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_2_cols_1_channels_2048_tile_1024,5/5,0.05750476,0.056514,0.0519006,0.0635783,0.004261327293039108,133.4,135.0,120.0,147.0,9.810198774744578,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_2_cols_1_channels_4096_tile_2048,5/5,0.09390454000000001,0.1031,0.0391251,0.123055,0.02857115339748117,192.2,148.0,124.0,390.0,99.39899395869155,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_2_cols_1_channels_8192_tile_4096,5/5,0.18518859999999998,0.190735,0.165856,0.195626,0.010936965915645889,165.4,160.0,156.0,184.0,10.307278981380101,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_4_cols_1_channels_1024_tile_256,5/5,0.02591458,0.0263083,0.02062,0.0305176,0.0031843888263841146,149.6,145.0,125.0,185.0,19.693653800145874,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_4_cols_1_channels_2048_tile_512,5/5,0.04655044,0.0489064,0.0363305,0.0526165,0.00603391918958151,167.0,156.0,145.0,210.0,24.066574330386118,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_4_cols_1_channels_4096_tile_1024,5/5,0.0917525,0.0882011,0.0699944,0.120148,0.019190083461621526,173.6,173.0,127.0,218.0,35.2,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_4_cols_1_channels_8192_tile_2048,5/5,0.1640308,0.172416,0.106705,0.203451,0.0316810294996864,195.0,177.0,150.0,286.0,47.10413994544429,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_8_cols_1_channels_1024_tile_128,5/5,0.0195415,0.0179939,0.0125072,0.0276427,0.0065220478958682914,218.8,212.0,138.0,305.0,71.70885579898761,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_8_cols_1_channels_2048_tile_256,5/5,0.046152399999999996,0.0451443,0.0377693,0.0541092,0.005321378943845291,167.6,169.0,141.0,202.0,20.035967658189108,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_8_cols_1_channels_4096_tile_512,5/5,0.11178184,0.108218,0.0959672,0.127157,0.011654475954859573,138.0,141.0,120.0,159.0,14.38054240979804,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,sigmoid_8_cols_1_channels_8192_tile_1024,5/5,0.2006262,0.195626,0.174386,0.23657,0.021512011457787947,153.8,156.0,129.0,175.0,15.816447135814036,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_1_cols_1_channels_1024_tile_1024,5/5,0.0270494,0.030037,0.0200774,0.0315264,0.004670590944623604,145.8,127.0,121.0,190.0,27.737339454244704,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_1_cols_1_channels_2048_tile_2048,5/5,0.05102778,0.0508626,0.0401547,0.0620276,0.0069383744189543415,152.4,150.0,123.0,190.0,21.509067855209345,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_1_cols_1_channels_4096_tile_4096,5/5,0.09224573999999999,0.0936122,0.0635783,0.12207,0.018682091138906263,172.8,163.0,125.0,240.0,37.52545802518605,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_2_cols_1_channels_1024_tile_512,5/5,0.02559268,0.0254313,0.0236938,0.028257,0.0015694253131640257,149.6,150.0,135.0,161.0,8.912911982062877,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_2_cols_1_channels_2048_tile_1024,5/5,0.058307359999999996,0.0605508,0.0489064,0.0646559,0.005714726640041499,132.2,126.0,118.0,156.0,13.833293172632466,,,,,
