Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev)
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-group_size_32,5/5,0.0137987274,0.01327858,0.009323827,0.02021899,0.004153360342809036,,,,,,407.04,395.2,259.6,562.9,114.54537528857284
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-weighted_False,5/5,0.02228952,0.01658572,0.01190431,0.03628568,0.011401088747586786,,,,,,450.08000000000004,493.9,225.8,688.2,205.98470088819704
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-weighted_True,5/5,0.025425488,0.02071072,0.02032807,0.04355186,0.010159055993062051,,,,,,439.53999999999996,494.4,235.1,503.7,115.47135142536438
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_1-tile_size_2048,10/10,0.0329474888,0.03066579,0.005858168,0.06553181,0.018924714404232743,,,,,,579.21,401.05,187.5,2097.6,558.2439619019627
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_3.0,5/5,0.043146532,0.04609654,0.02125963,0.06767228,0.01785046771897784,,,,,,333.74,266.6,181.6,578.0,156.8357038432257
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024,30/30,0.024224622,0.02465398,0.0114342,0.05327784,0.008918610302419512,,,,,,381.50333333333333,332.85,153.8,716.4,133.27423757913175
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-group_size_32,5/5,0.016585928,0.01426816,0.00916702,0.02652086,0.007505454820776687,,,,,,372.62,367.8,197.9,572.5,160.22514471829945
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-weighted_False,5/5,0.019353226,0.01637516,0.01613059,0.02911376,0.005570028452425535,,,,,,445.38,500.3,281.4,507.9,96.43986209032032
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-weighted_True,5/5,0.027890632,0.02320317,0.01632942,0.04403222,0.012098429652532182,,,,,,424.6,441.3,232.6,627.1,169.65497340190177
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512,25/25,0.0244670964,0.02441067,0.01202086,0.0422957,0.007711431936310467,,,,,,369.38,335.6,193.7,681.5,121.12125467205719
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-group_size_32,5/5,0.0142333716,0.01699862,0.008019928,0.01809936,0.004486776911270806,,,,,,408.0,308.7,290.0,654.4,158.17416034232645
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-weighted_False,5/5,0.022242005999999998,0.0167708,0.01535454,0.03478807,0.008840737660205735,,,,,,412.2,488.5,235.5,533.5,139.26819450254965
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-weighted_True,5/5,0.019252828,0.01962718,0.0162742,0.02371407,0.003043439296613291,,,,,,488.02,469.6,388.6,566.3,74.2532962231307
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-tile_size_1024,10/10,0.0328804713,0.030985535,0.006508023,0.05933681,0.016215549142448264,,,,,,544.9,416.8,207.1,1888.1,493.84327473399895
